5590727-G,64,1,,,,81.46,17.46,,,
5614460-G,285,1,,,,276.17,-8.83,,,
5622173-G,0,1,,,,0,0,,,
5625172-G,2,1,,,,9.54,7.54,,,
5647096-P,0,1,,,,0,0,,,
5683238-P,171,1,,,,198.28,27.28,,,
5689418-P,0,1,,,,0,0,,,
5721073-G,0,1,,,,1.79,1.79,,,
5760941-G,0,1,,,,0.6,0.6,,,
5806713-G,489,1,,,,466.7,-22.3,,,
5819954-G,0,1,,,,0,0,,,
5864131-G,389,1,,,,422.8,33.8,,,
5878126-G,89,1,,,,87.22,-1.78,,,
5885472-P,1092,1,,,,1044.07,-47.93,,,
5887718-P,0,1,,,,0,0,,,
5921039-P,2135,,,,1,,,,,
5934247-G,0,1,,,,0,0,,,
5947364-P,4,1,,,,5.56,1.56,,,
5972850-G,0,1,,,,22.25,22.25,,,
6037167-P,0,1,,,,0,0,,,
6058293-G,735,1,,,,2222.85,1487.85,,,
6059638-G,0,1,,,,0,0,,,
6060602-G,27,1,,,,27.02,0.02,,,
6071212-G,259,1,,,,246.37,-12.63,,,
6094480-G,2,1,,,,2.38,0.38,,,
6114892-G,0,1,,,,0.2,0.2,,,
6119182-P,13,1,,,,11.92,-1.08,,,
6131288-P,0,1,,,,25.43,25.43,,,
6150125-G,171,1,,,,219.34,48.34,,,
6154401-G,12,1,,,,11.13,-0.87,,,
6162885-P,166,1,,,,162.32,-3.68,,,
6205636-P,0,1,,,,0,0,,,
6209901-G,101,1,,,,125.17,24.17,,,
6216757-G,59,1,,,,70.93,11.93,,,
6225576-G,0,1,,,,1.59,1.59,,,
6237236-P,8,1,,,,32.19,24.19,,,
6287054-G,0,1,,,,18.48,18.48,,,
6325593-G,294,1,,,,289.68,-4.32,,,
6386158-G,36,1,,,,36.36,0.36,,,
6423207-G,0,1,,,,0.4,0.4,,,
6444184-G,0,1,,,,16.69,16.69,,,
6448404-G,470,1,,,,459.15,-10.85,,,
6469927-G,39,1,,,,39.74,0.74,,,
6474084-P,334,1,,,,1419.98,1085.98,,,
6495507-P,340,1,,,,691.21,351.21,,,
6507784-P,1,1,,,,0.6,-0.4,,,
6511973-G,0,1,,,,0,0,,,
6518430-P,506,1,,,,463.33,-42.67,,,
6536103-G,341,1,,,,735.32,394.32,,,
6536578-P,0,1,,,,0,0,,,
6573724-P,0,1,,,,1.59,1.59,,,
6581960-G,1289,1,,,,1351.83,62.83,,,
6608124-P,57,1,,,,106.49,49.49,,,
6608873-G,0,1,,,,2.38,2.38,,,
6609230-P,0,1,,,,0,0,,,
6615710-G,636,1,,,,1109.84,473.84,,,
6624062-G,129,1,,,,133.51,4.51,,,
